time|phrase|quote|title|author|ampm|score|keep
13:59|one of two|You can understand that one of two things must have happened; he must either have fallen flat, in which case the blow, from a height of ninety feet, must have killed him instantly, or he must have fallen upright, and then the weight would have dragged him to the bottom, where he remained - poor fellow!"|The Count of Monte Cristo|Alexandre Dumas|guess|2.0|
13:59|One of two|One of two things: either let him take her away, act with energy, or give her a divorce.|Anna Karenina|graf Leo Tolstoy|guess|2.0|
13:59|one of two|One must do one of two things: either admit that the existing order of society is just, and then stick up for one's rights in it; or acknowledge that you are enjoying unjust privileges, as I do, and then enjoy them and be satisfied."|Anna Karenina|graf Leo Tolstoy|guess|2.0|
13:59|one of two|His conclusion was that one of two things must be the explanation - either that this was a begging impostor, or that the prince, if prince he were, was simply a fool, without the slightest ambition; for a sensible prince with any ambition would certainly not wait about in ante-rooms with servants, and talk of his own private affairs like this.|The Idiot|Fyodor Dostoyevsky|guess|2.0|
13:59|one of two|A man - one of two who happened to be passing by - caught the urchin's arm.|The House of the Seven Gables|Nathaniel Hawthorne|guess|2.0|
13:59|one of two|When a girl leaves her home at eighteen, she does one of two things.|Sister Carrie: A Novel|Theodore Dreiser|guess|2.0|
14:03|three minutes past two|At thirty-three minutes past two he heard a singular noise outside, then a hasty opening of doors.|Around the World in Eighty Days|Jules Verne|guess|2.0|
14:05|five past two|Then he thought he would be late at the meeting-place. He was at the Fountain at five past two.|Sons and Lovers|D. H. Lawrence|pm-cue|3.0|
14:05|five after two|A child of five after two lessons would draw better than you do.|Of Human Bondage|W. Somerset Maugham|guess|2.0|
15:37|3.37|At one point is a small cross done in red ink, and above it is '3.37 from left,' in faded pencil-writing.|The Sign of the Four|Arthur Conan Doyle|guess|2.0|
15:55|five to four|One of the best players we have, by the by; and we had a little touch together, though I was almost afraid of him at first: the odds were five to four against me; and, if I had not made one of the cleanest strokes that perhaps ever was made in this world - I took his ball exactly - but I could not make you understand it without a table; however, I did beat him.|Northanger Abbey|Jane Austen|guess|2.0|
16:53|Seven to five|"Seven to five!" repeated the other, and the two figures flitted away in different directions.|A Study in Scarlet|Arthur Conan Doyle|guess|2.0|
16:59|one of five|She saw it with concern; for what could a silent man of five and thirty hope, when opposed to a very lively one of five and twenty? and as she could not even wish him successful, she heartily wished him indifferent.|Sense and Sensibility|Jane Austen|guess|4.0|
16:59|one of five|Peggy was one of five sisters, and eleven children of the noble house of Glenmalony; but her husband, though her own cousin, was of the mother's side, and so had not the inestimable advantage of being allied to the Malonys, whom she believed to be the most famous family in the world.|Vanity Fair|William Makepeace Thackeray|guess|4.0|
16:59|one of five|The little one of five, dragged along by his brother who was dragged by Gavroche, turned his head back several times to watch "Porrichinelle" as he went.|Les Misérables|Victor Hugo|guess|4.0|
16:59|one of five|The living had belonged to the family for generations; but Jim was one of five sons, and when after a course of light holiday literature his vocation for the sea had declared itself, he was sent at once to a 'training-ship for officers of the mercantile marine.'|Lord Jim|Joseph Conrad|guess|4.0|
16:59|one of five|"Then God keep thee, old man - see'st thou that" - pointing to the hammock - "I bury but one of five stout men, who were alive only yesterday; but were dead ere night.|Moby Dick; Or, The Whale|Herman Melville|pm-cue|3.0|
18:51|Nine to seven|"Pass it on to him, and from him to the others. Nine to seven!"|A Study in Scarlet|Arthur Conan Doyle|guess|2.0|
20:02|two minutes past eight|Anna looked at the railway timetable in the newspapers. An evening train went at two minutes past eight.|Anna Karenina|graf Leo Tolstoy|pm-cue|3.0|
20:31|8.31|I've got the mitten instead of the scarf. I ought to have known at 8.31 that my goose was cooked.|The Four Million|O. Henry|pm-cue|3.0|
20:47|8.47|He hurries to a telephone box, and as near as possible to 8.47 rings up the doctor with his master's dying cry.|Poirot Investigates|Agatha Christie|pm-cue|5.0|
20:47|8.47|Then, having moved on the hands of the clock to 8.47, he smashes it and stops it.|Poirot Investigates|Agatha Christie|pm-cue|3.0|
21:40|twenty minutes to ten|It still wanted twenty minutes to ten when the warden found himself at the bottom of Sir Abraham's stairs, so he walked leisurely up and down the quiet inn to cool himself.|The Warden|Anthony Trollope|pm-cue|5.0|
