time|phrase|quote|title|author|ampm|score|keep
00:00|midnight|After midnight the voice of a clock seems to lose in breadth as much as in length, and to diminish its sonorousness to a thin falsetto.|Far from the Madding Crowd|Thomas Hardy|explicit|5.0|
00:00|midnight|Those who knew it well called it a path; and, while a mere visitor would have passed it unnoticed even by day, the regular haunters of the heath were at no loss for it at midnight.|The Return of the Native|Thomas Hardy|explicit|5.0|
00:00|midnight|Four hours after the present time, that is, at midnight, he was to be ready to drive her to Budmouth, as prearranged.|The Return of the Native|Thomas Hardy|explicit|5.0|
00:00|midnight|At length he turned to the lamp and looked at his watch. To his surprise it was nearly a quarter past midnight.|The Return of the Native|Thomas Hardy|explicit|5.0|
00:00|twelve o'clock|"We are going to this party at Ullathorne to-morrow morning, my dear; we must be there early, you know - by twelve o'clock I suppose."|Barchester Towers|Anthony Trollope|am-cue|5.0|
00:00|twelve o'clock|The three of them sat in consultation on this epistle for some ten or fifteen minutes, and then decided that Eleanor should write a line saying that she would see the signora the next morning at twelve o'clock.|Barchester Towers|Anthony Trollope|am-cue|5.0|
00:00|midnight|He was allowed to remain waiting for Ruby till midnight, and then, with a sorrowful heart, he took his departure.|The Way We Live Now|Anthony Trollope|explicit|5.0|
00:00|twelve o'clock|It was then settled that they should meet each other, and also meet Mr. Longestaffe senior, Bideawhile, and Melmotte, at twelve o'clock on Friday morning in Bruton Street.|The Way We Live Now|Anthony Trollope|am-cue|5.0|
00:00|midnight|The idea of this conversion set Rawdon into roars of laughter: you might have heard the explosion through the hotel at midnight, and the haw-haws of the great dragoon's voice.|Vanity Fair|William Makepeace Thackeray|explicit|5.0|
00:00|midnight|My mother and sister had spoken so many last words, and had begged me to wait another five minutes so many times, that it was nearly midnight when the servant locked the garden-gate behind me.|The Woman in White|Wilkie Collins|explicit|5.0|
00:00|midnight|What sort of a woman she was, and how she came to be out alone in the high-road, an hour after midnight, I altogether failed to guess.|The Woman in White|Wilkie Collins|explicit|5.0|
00:00|midnight|I am writing these lines in the solitude of my own room, long after midnight, having just come back from a stolen look at Laura in her pretty little white bed - the bed she has occupied since the days of her girlhood.|The Woman in White|Wilkie Collins|explicit|5.0|
00:00|midnight|Before midnight Sir Percival's strange temper broke out in the most violent and most alarming manner, and if the gardener had not been on the spot to pacify him on the instant, I am afraid to think what might have happened.|The Woman in White|Wilkie Collins|explicit|5.0|
00:00|midnight|Towards midnight, I went round the house to lock up, accompanied by my second in command (Samuel, the footman), as usual.|The Moonstone|Wilkie Collins|explicit|5.0|
00:00|midnight|Later still, at midnight, the police, having occasion to search the common lodging-house where they lived, had seen them all three again, and their little boy with them, as usual.|The Moonstone|Wilkie Collins|explicit|5.0|
00:00|midnight|The testimony of the inhabitants also declares, that Shore Lane, after midnight, is one of the quietest and loneliest streets in London.|The Moonstone|Wilkie Collins|explicit|5.0|
00:00|midnight|He breakfasted and dined at the club, at hours mathematically fixed, in the same room, at the same table, never taking his meals with other members, much less bringing a guest with him; and went home at exactly midnight, only to retire at once to bed.|Around the World in Eighty Days|Jules Verne|explicit|5.0|
00:00|midnight|Everything was regulated and foreseen that was to be done from half-past eleven a.m. till midnight, the hour at which the methodical gentleman retired.|Around the World in Eighty Days|Jules Verne|explicit|5.0|
00:00|midnight|Passepartout, who had conscientiously studied the programme of his duties, was more than surprised to see his master guilty of the inexactness of appearing at this unaccustomed hour; for, according to rule, he was not due in Saville Row until precisely midnight.|Around the World in Eighty Days|Jules Verne|explicit|5.0|
00:00|midnight|They waited till midnight; but no change took place among the guards, and it became apparent that their yielding to sleep could not be counted on.|Around the World in Eighty Days|Jules Verne|explicit|5.0|
00:00|midnight|Mr. Fogg and Aouda descended into the cabin at midnight, having been already preceded by Fix, who had lain down on one of the cots.|Around the World in Eighty Days|Jules Verne|explicit|5.0|
00:00|midnight|Towards midnight, however, it disappeared, or, to use a more appropriate term, it "died out" like a large glow-worm.|Twenty Thousand Leagues under the Sea|Jules Verne|explicit|5.0|
00:00|midnight|Towards midnight the sea suddenly resumed its usual colour; but behind us, even to the limits of the horizon, the sky reflected the whitened waves, and for a long time seemed impregnated with the vague glimmerings of an aurora borealis.|Twenty Thousand Leagues under the Sea|Jules Verne|explicit|5.0|
00:00|midnight|It was in an awful mood of mind, that despite my fatigue, before I descended into the crater which was to shelter us for the night, I paused to behold the sun rise at midnight on the very day of its lowest declension, and enjoyed the spectacle of its ghastly pale rays cast upon the isle which lay sleeping at our feet!|A Journey to the Centre of the Earth|Jules Verne|explicit|5.0|
00:00|midnight|At midnight, our work as miners was completely finished; the charge of fulminating cotton was thrust into the hollow, and the match, which we had made of considerable length, was ready.|A Journey to the Centre of the Earth|Jules Verne|explicit|5.0|
00:00|midnight|At midnight great cries and loud acclamations were heard. It was the king, who was passing through the streets which led from the Louvre to the Hôtel de Ville, and which were all illuminated with colored lanterns.|The three musketeers|Alexandre Dumas|explicit|5.0|
00:00|midnight|It was past midnight; the next thing was to find Planchet. D'Artagnan went successively into all the cabarets in which there was a light, but could not find Planchet in any of them.|The three musketeers|Alexandre Dumas|explicit|5.0|
00:00|midnight|It was a stormy and dark night; vast clouds covered the heavens, concealing the stars; the moon would not rise till midnight.|The three musketeers|Alexandre Dumas|explicit|5.0|
00:00|midnight|He got in it, and thoroughly wearied by so many emotions, arrived about midnight in the Rue Meslay, threw himself on his bed and slept soundly.|The Count of Monte Cristo|Alexandre Dumas|explicit|5.0|
00:00|midnight|The whole journey was performed with equal rapidity; the thirty-two horses, dispersed over seven stages, brought them to their destination in eight hours. At midnight they arrived at the gate of a beautiful park.|The Count of Monte Cristo|Alexandre Dumas|explicit|5.0|
00:00|midnight|In the meantime he had relapsed into his stupor; he was obliged to make a tolerably vigorous effort to recall what had been the subject of his thoughts before midnight had struck; he finally succeeded in doing this.|Les Misérables|Victor Hugo|explicit|5.0|
00:00|midnight|However, the man's examination and the depositions of the witnesses had been completed, but the lawyer's plea, and the speech of the public prosecutor were still to come; it could not be finished before midnight.|Les Misérables|Victor Hugo|explicit|5.0|
00:00|midnight|These men are terrible, when one encounters them, or catches a glimpse of them, towards midnight, on a deserted boulevard.|Les Misérables|Victor Hugo|explicit|5.0|
00:00|midnight|In the private rooms of restaurants, where one sups after midnight by the light of wax candles, laughed the motley crowd of men of letters and actresses.|Madame Bovary|Gustave Flaubert|explicit|5.0|
00:00|struck midnight|She knelt down by her father's grave, made the sign of the cross and began to pray. At that moment, it struck midnight.|The Phantom of the Opera|Gaston Leroux|explicit|5.0|
00:00|midnight|Numbers of artists had arranged to go, accompanied by a whole cohort of models and pupils, who, by midnight, began to create a tremendous din.|The Phantom of the Opera|Gaston Leroux|explicit|5.0|
00:00|midnight|Toward midnight, after he had left the countess' apartments, he was sitting upstairs in a shabby dressing gown, copying out the original transaction of the Scottish lodge of Freemasons at a table in his low room cloudy with tobacco smoke, when someone came in.|War and Peace|graf Leo Tolstoy|explicit|5.0|
